"code","name_en","continent"
"SPAI031","Spain","Europe"
"SPAI045","Spain","Europe"
"SPAI046","Spain","Europe"
"SPAI032","Spain","Europe"
"SPAI033","Spain","Europe"
"SPAI034","Spain","Europe"
"SPAI035","Spain","Europe"
"SPAI036","Spain","Europe"
"SPAI037","Spain","Europe"
"SPAI038","Spain","Europe"
"SPAI022","Spain","Europe"
"SPAI067","Spain","Europe"
"SPAI042","Spain","Europe"
"SPAI039","Spain","Europe"
"SPAI001","Spain","Europe"
"SPAI005","Spain","Europe"
"SPAI066","Spain","Europe"
"SPAI029","Spain","Europe"
"SPAI007","Spain","Europe"
"LS001","Laos","Asia"
"LS002","Laos","Asia"
"KYRG003","Kyrgyzstan","Asia"
"KYRG005","Kyrgyzstan","Asia"
"KYRG007","Kyrgyzstan","Asia"
"KYRG002","Kyrgyzstan","Asia"
"TUNI002","Tunisia","Africa"
"TUNI001","Tunisia","Africa"
"TUNI003","Tunisia","Africa"
"ROMA002","Romania","Europe"
"ROMA003","Romania","Europe"
"POLA001","Slovakia","Europe"
"POLA006","Poland","Europe"
"POLA005","Poland","Europe"
"POLA007","Poland","Europe"
"POLA008","Poland","Europe"
"POLA010","Poland","Europe"
"POLA300","Poland","Europe"
"POLA012","Poland","Europe"
"POLA013","Poland","Europe"
"POLA014","Poland","Europe"
"POLA015","Poland","Europe"
"POLA016","Poland","Europe"
"POLA017","Poland","Europe"
"POLA018","Poland","Europe"
"POLA003","Poland","Europe"
"POLA021","Poland","Europe"
"POLA020","Poland","Europe"
"POLA019","Poland","Europe"
"BRIT045","Ireland","Europe"
"BRIT046","Ireland","Europe"
"BRIT047","Ireland","Europe"
"BRIT6","Ireland","Europe"
"BRIT040","Ireland","Europe"
"BRIT054","Ireland","Europe"
"BRIT001","Ireland","Europe"
"BRIT006","Ireland","Europe"
"BRIT007","Ireland","Europe"
"BRIT009","Ireland","Europe"
"BRIT003","Ireland","Europe"
"BRIT004","Ireland","Europe"
"BRIT039","United Kingdom","Europe"
"BRIT038","United Kingdom","Europe"
"BRIT7","United Kingdom","Europe"
"BRIT042","United Kingdom","Europe"
"BRIT023","United Kingdom","Europe"
"BRIT022","United Kingdom","Europe"
"BRIT017","United Kingdom","Europe"
"BRIT2","United Kingdom","Europe"
"BRIT019","United Kingdom","Europe"
"BRIT016","United Kingdom","Europe"
"BRIT026","United Kingdom","Europe"
"BRIT021","United Kingdom","Europe"
"BRIT015","United Kingdom","Europe"
"BRIT043","United Kingdom","Europe"
"BRIT044","United Kingdom","Europe"
"BRIT008","United Kingdom","Europe"
"BRIT030","United Kingdom","Europe"
"BRIT031","United Kingdom","Europe"
"BRIT034","United Kingdom","Europe"
"BRIT035","United Kingdom","Europe"
"BRIT029","United Kingdom","Europe"
"BRIT032","United Kingdom","Europe"
"BRIT033","United Kingdom","Europe"
"BRIT8","United Kingdom","Europe"
"BRIT11","United Kingdom","Europe"
