"node","com_name","networktype"
"HOL_TRRS","CPM_K5_01",2
"VALK_Q2","CPM_K5_01",2
"VFH_Q2","CPM_K5_01",2
"1TN_Q1","CPM_K5_02",2
"HOL_MRBR","CPM_K5_02",2
"HOL_TRRB","CPM_K5_02",2
"VALK_Q2","CPM_K5_02",2
"VNW_Q1","CPM_K5_02",2
"068_Q1","GN_ 1",2
"068_Q2","GN_ 1",2
"1DH_Q1","GN_ 1",2
"ATTO_Q1","GN_ 1",2
"BECRAA","GN_ 1",2
"BECRKO","GN_ 1",2
"ELT_Q1","GN_ 1",2
"HOL_K9SA","GN_ 1",2
"HOL_LKSH","GN_ 1",2
"HOL_TMB12","GN_ 1",2
"HOL_TMB21","GN_ 1",2
"HOL_TMB22","GN_ 1",2
"LANG_Q1","GN_ 1",2
"068_Q3","GN_ 2",2
"1GDGem","GN_ 2",2
"HOK_Q1","GN_ 2",2
"VALK_Q1","GN_ 2",2
"VDM2W_Q1","GN_ 2",2
"VDML2_Q1","GN_ 2",2
"VDMLR_Q1","GN_ 2",2
"VDMLR_Q2","GN_ 2",2
"VDMWL_Q1","GN_ 2",2
"VDMWL_Q3","GN_ 2",2
"VNW_Q1","GN_ 2",2
"VRW_Q1","GN_ 2",2
"195_Q1","GN_ 3",2
"1TN_Q1","GN_ 3",2
"BOUX_Q1","GN_ 3",2
"BSN_Q1","GN_ 3",2
"C4A_Q1","GN_ 3",2
"DMN1_Q3","GN_ 3",2
"FLEV1_Q1","GN_ 3",2
"FLOR_Q2","GN_ 3",2
"HOL_GKZB","GN_ 3",2
"HOL_KBMB","GN_ 3",2
"HOL_KORH","GN_ 3",2
"HOL_LKBB","GN_ 3",2
"HOL_LKSB","GN_ 3",2
"HOL_MBRU","GN_ 3",2
"HOL_MBUF","GN_ 3",2
"HOL_MRBR","GN_ 3",2
"HOL_PALZ","GN_ 3",2
"HOL_TMB11","GN_ 3",2
"HOL_TRPB","GN_ 3",2
"HOL_TRRB","GN_ 3",2
"HOL_TRRS","GN_ 3",2
"HORB1_Q1","GN_ 3",2
"HORB2_Q1","GN_ 3",2
"HORB3_Q1","GN_ 3",2
"MAIR_Q1","GN_ 3",2
"MAP_Q1","GN_ 3",2
"MMB_Q1","GN_ 3",2
