Series_A,Radius_A,Series_B,Radius_B,overlap,r,r_wuchs,t,t_wuchs,SGC,SSGC,p
195023,0,195035,A,130,0.54208150,0.70726245,7.32675521,11.31869155,0.76744186,0.04651163,0.0000000012
195023,0,195036,A,164,0.27064560,0.62226559,3.58932888,10.11763579,0.75460123,0.04294479,0.0000000001
195023,0,195043,0,230,0.34548070,0.58785047,5.57110783,10.97241155,0.72052402,0.05676856,0.0000000000
195023,0,195043,A,222,0.16963284,0.53165707,2.55885816,9.31065371,0.68778281,0.05882353,0.0000000236
195023,0,195043,B,160,0.39409965,0.58353750,5.40700915,9.03223413,0.71069182,0.03144654,0.0000001076
195023,0,195050,0,230,0.57626314,0.60591692,10.67028707,11.50072127,0.72489083,0.05240175,0.0000000000
195023,0,195050,A,230,0.43284072,0.57498361,7.26598303,10.61162845,0.73799127,0.02620087,0.0000000000
195023,0,195050,B,221,0.61406505,0.52289784,11.54006229,9.07815993,0.66818182,0.03636364,0.0000006067
195023,0,195052,0,210,0.55431695,0.57858436,9.62827415,10.23078927,0.66985646,0.04306220,0.0000009053
195023,B,195030,0,218,0.62408243,0.51498961,11.76580029,8.82968068,0.67741935,0.03225806,0.0000001722
195023,A,195005,A,176,0.65375922,0.54412959,11.42908861,8.55488932,0.66285714,0.04000000,0.0000164146
195023,A,195007,0,163,0.06272416,0.60714830,0.79992339,9.69539325,0.73456790,0.03703704,0.0000000024
195023,A,195007,1,168,0.05753137,0.63196204,0.74470260,10.50615263,0.75449102,0.02994012,0.0000000000
195023,A,195007,B,152,0.00669417,0.58443145,0.08226115,8.82106750,0.72185430,0.02649007,0.0000000497
195023,A,195007,F,155,0.01095805,0.52140714,0.13599393,7.55817342,0.67532468,0.02597403,0.0000135244
195023,A,195007,G,168,0.03759897,0.58641229,0.48622959,9.32750020,0.70658683,0.02994012,0.0000000933
195023,A,195008,0,206,0.30861219,0.50583897,4.64540588,8.37536721,0.66829268,0.03902439,0.0000014416
195023,A,195014,0,206,0.55699016,0.57168339,9.60229032,9.95189225,0.70243902,0.02439024,0.0000000068
195023,A,195014,B,206,0.57578971,0.56195243,10.08326303,9.70331439,0.68292683,0.02926829,0.0000001621
195023,A,195016,A,184,0.55138662,0.51291966,8.94099059,8.06077520,0.70491803,0.04371585,0.0000000295
195023,A,195017,0,168,0.75031048,0.59969091,14.66700833,9.65529951,0.70658683,0.01796407,0.0000000933
195023,A,195017,A,162,0.69346385,0.57201152,12.21259481,8.82106186,0.71428571,0.03105590,0.0000000539
195023,A,195019,0,173,0.59910004,0.57069486,9.81313453,9.08809929,0.71511628,0.04069767,0.0000000168
195023,A,195019,A,173,0.59009265,0.52535423,9.58584417,8.07383972,0.71511628,0.04651163,0.0000000168
195023,A,195020,0,194,0.31963452,0.58716601,4.68634607,10.05107744,0.67357513,0.04663212,0.0000014158
195023,A,195020,B,180,0.44243171,0.60387519,6.60048870,10.10778228,0.65363128,0.04469274,0.0000394132
195023,A,195021,0,205,0.35514729,0.52267000,5.42625349,8.73500849,0.70098039,0.02941176,0.0000000094
195023,A,195021,B,193,0.25999248,0.54344808,3.73086348,8.94712779,0.68750000,0.02604167,0.0000002035
195023,B,195007,G,156,0.03439483,0.54108226,0.42846565,7.98441895,0.65806452,0.03225806,0.0000829287
195023,B,195008,0,194,0.39465235,0.57628694,5.96702610,9.77092831,0.69948187,0.04145078,0.0000000298
195023,B,195008,A,194,0.27367589,0.56878960,3.95294259,9.58242206,0.68393782,0.03108808,0.0000003210
195023,B,195008,C,123,0.52757111,0.52929082,6.85949234,6.86223636,0.68032787,0.04918033,0.0000678869
195023,B,195008,D,185,0.27169835,0.50048565,3.82955418,7.82036945,0.73369565,0.02173913,0.0000000002
195023,B,195009,Q,99,0.13933051,0.60933821,1.39288800,7.56868008,0.72448980,0.02040816,0.0000088026
195023,B,195010,0,218,0.18284264,0.56000660,2.73962441,9.93421875,0.72350230,0.04147465,0.0000000000
195023,B,195010,A,208,0.17005617,0.56280657,2.48284651,9.77244743,0.73913043,0.03381643,0.0000000000
195023,B,195010,Q,213,0.18916828,0.57306595,2.80497648,10.15762008,0.73584906,0.04245283,0.0000000000
195023,B,195011,0,69,0.35521210,0.64171646,3.13350313,6.84885667,0.76470588,0.01470588,0.0000126750
195023,B,195011,A,69,0.32911901,0.61894116,2.87410575,6.45023026,0.73529412,0.00000000,0.0001042119
195023,B,195012,0,218,0.37440871,0.52579616,5.94802135,9.08476085,0.70967742,0.01843318,0.0000000007
195023,B,195014,0,194,0.52962673,0.58075898,8.67430133,9.88511745,0.71502591,0.02590674,0.0000000023
195023,B,195014,A,190,0.52285263,0.55615186,8.43247363,9.17548706,0.68783069,0.03174603,0.0000002411
195023,B,195014,B,194,0.51309841,0.50337146,8.30472271,8.07216836,0.64248705,0.04145078,0.0000752685
195023,B,195015,0,218,0.21159644,0.61379642,3.18922344,11.42664418,0.74654378,0.01843318,0.0000000000
195023,B,195015,A,218,0.16911847,0.55972890,2.52768000,9.92704427,0.71889401,0.02304147,0.0000000001
195023,B,195015,B,204,0.20393028,0.52840154,2.96792900,8.84575355,0.66995074,0.04433498,0.0000012799
195023,B,195016,0,192,0.39838886,0.57732526,6.00277357,9.74616109,0.74345550,0.04188482,0.0000000000
195023,B,195016,A,172,0.44030898,0.58501394,6.41288706,9.40496919,0.72514620,0.04678363,0.0000000039
195023,B,195016,B,147,-0.09307991,0.52475801,-1.12959276,7.42309837,0.69863014,0.03424658,0.0000015858
195023,B,195017,0,168,0.71608586,0.60619061,13.25745958,9.82023023,0.71856287,0.01796407,0.0000000161
195023,B,195017,A,162,0.64709960,0.54074121,10.76956266,8.13122305,0.72670807,0.03105590,0.0000000088
195023,B,195018,B,179,0.49037928,0.51713342,7.50706483,8.03829188,0.70786517,0.05056180,0.0000000291
195023,B,195019,0,161,0.47431997,0.61915624,6.81514011,9.94216612,0.70000000,0.04375000,0.0000004200
195023,B,195019,A,161,0.46119839,0.58552384,6.57474229,9.10766360,0.70625000,0.05000000,0.0000001811
195023,B,195020,0,182,0.43772195,0.65457027,6.54974816,11.61636001,0.68508287,0.04972376,0.0000006356
195023,B,195020,A,182,0.42612380,0.60296332,6.33705333,10.14028215,0.66850829,0.04419890,0.0000057851
195023,B,195021,0,193,0.34728550,0.58569044,5.13151755,9.98649611,0.68229167,0.03125000,0.0000004376
195023,B,195021,A,193,0.42258490,0.53384601,6.46072750,8.72523439,0.66145833,0.02083333,0.0000076603
195023,B,195021,B,185,0.25034074,0.57821462,3.50747275,9.58706824,0.65760870,0.02717391,0.0000190438
195023,B,195022,0,203,0.17045779,0.55555000,2.45864265,9.47256819,0.68811881,0.03960396,0.0000000893
195023,B,195022,B,196,0.20081714,0.56988590,2.86257297,9.65968331,0.73333333,0.02051282,0.0000000001
195023,B,195025,0,209,0.35328441,0.64050674,5.44634225,11.99981327,0.72596154,0.02884615,0.0000000001
195023,B,195025,A,209,0.36356459,0.59864732,5.62857188,10.75268201,0.71634615,0.04326923,0.0000000004
195023,B,195026,0,86,0.47573055,0.57935610,4.98642968,6.51460212,0.72941176,0.03529412,0.0000233542
195023,B,195026,B,86,0.45764241,0.55202460,4.74534043,6.06766635,0.70588235,0.04705882,0.0001468818
195023,B,195027,0,209,0.02458661,0.56277174,0.35470038,9.79525095,0.66346154,0.03846154,0.0000024177
195023,B,195027,A,209,-0.08763706,0.52512818,-1.26880134,8.87787712,0.63942308,0.05769231,0.0000578099
195023,A,195024,0,226,0.52083777,0.52240307,9.15189433,9.16925691,0.65777778,0.04888889,0.0000022086
195023,A,195024,A,226,0.48869506,0.52189357,8.40207089,9.15696428,0.67555556,0.03555556,0.0000001389
195023,A,195025,0,218,0.44771836,0.56145286,7.37585604,9.97166314,0.69124424,0.02764977,0.0000000176
195023,A,195025,B,144,0.45397562,0.58166701,6.09278665,8.52118551,0.67132867,0.04195804,0.0000417481
195023,A,195026,0,98,0.45458452,0.51901564,5.02651860,5.94934928,0.71134021,0.04123711,0.0000314204
195023,A,195026,A,94,0.44369755,0.54565062,4.77457712,6.24536659,0.70967742,0.03225806,0.0000525219
195023,A,195027,0,221,-0.04567624,0.52843124,-0.67819598,9.21117594,0.65000000,0.04090909,0.0000085983
