"Series_A","Series_B"
"195010","195017"
"195010","195003"
"195010","195018"
"195010","195023"
"195010","195025"
"195010","195026"
"195010","195029"
"195010","195050"
"195010","195035"
"195010","195036"
"195010","195007"
"195010","195008"
"195010","195016"
"195010","195009"
"195010","195012"
"195010","195014"
"195010","195015"
"195010","195021"
"195010","195033"
"195010","195049"
"195010","SILL151"
"195011","195022"
"195010","C4A0201"
"195010","VFH0015"
"195011","195023"
"195011","195025"
"195011","195027"
"195011","195028"
"195011","195035"
"195011","C4A1701"
"195011","MMB0003"
"195011","VDM2W13"
"195011","VDMWL20"
"195011","VFH_QT5"
"195011","195047"
"195011","195048"
"195011","C4A_QT3"
"195011","195009"
"195011","VFH0011"
"195011","MMB0006"
"195011","VFH0036"
"195012","BJG0004"
"195012","195007"
"195012","195008"
"195012","195009"
"195012","195010"
"195012","195014"
"195012","195015"
"195012","195016"
"195012","195018"
"195012","195022"
"195012","195023"
"195012","195024"
"195012","195025"
"195012","195004"
"195012","195006"
"195012","195026"
"195012","195027"
"195012","195031"
"195012","195036"
"195012","195050"
"195014","195007"
"195014","068134"
"195014","195028"
"195014","195031"
"195014","195005"
"195014","1TN0100"
"195014","195033"
"195014","195035"
"195014","195036"
"195014","195043"
"195014","195048"
"195014","195049"
"195014","195050"
"195014","195008"
"195014","195009"
"195014","195012"
"195014","195015"
"195014","C4A_QT2"
"195014","195016"
"195014","195021"
"195014","195022"
"195014","195023"
"195014","195024"
"195014","195026"
"195014","FLEV128"
"195014","FLEV150"
"195014","HORB102"
"195014","FLEV_QT1"
"195014","FLEV106"
"195014","FLEV109"
"195014","FLEV113"
"195014","FLEV127"
"195014","HORB316"
"195014","HORB306"
"195014","HORB311"
"195014","MAP0003"
"195014","NWH0014"
"195014","VDM2W13"
"195014","195003"
"195014","195025"
"195014","195029"
"195014","VFH0015"
"195014","VFH0034"
"195014","VFH0047"
"195014","VIGO102"
"195014","068141"
"195014","195010"
"195014","FLEV129"
"195014","HORB328"
"195014","VDMWL01"
"195014","VFH0023"
"195014","195053"
"195014","HORB105"
"195015","195003"
"195015","195004"
"195015","195005"
"195015","195007"
"195015","195017"
"195015","195021"
"195015","195022"
"195015","195023"
"195015","195024"
"195015","195025"
"195015","195026"
"195015","195031"
"195015","195032"
"195015","195035"
"195015","195036"
"195015","195043"
"195015","195049"
"195015","195050"
"195015","195008"
"195015","195009"
"195015","195010"
"195015","195012"
"195015","195014"
"195015","195016"
"195015","FLEV150"
"195015","TREM101"
"195015","SILL151"
"195015","VDMW201"
"195016","195007"
"195015","VAL0025"
"195016","195008"
"195016","195003"
"195016","195026"
"195016","195033"
"195016","195035"
"195016","195036"
"195016","195043"
"195016","195050"
"195016","195009"
"195016","195010"
"195016","195012"
"195016","195014"
"195016","195015"
"195016","195017"
"195016","195023"
"195016","HORB102"
"195016","195025"
"195016","HORB316"
"195016","195029"
"195016","MAP0002"
"195016","195021"
"195017","195033"
"195016","VEND039"
"195017","195001"
"195017","195003"
"195017","195005"
"195017","195007"
"195017","195008"
"195017","195009"
"195017","195010"
"195017","195015"
"195017","195016"
"195017","195021"
"195017","195022"
"195017","195023"
"195017","195024"
"195017","195025"
"195017","195026"
"195017","195031"
"195017","ALC0103"
"195017","195035"
"195017","195036"
"195017","195043"
"195017","195050"
"195017","VIGO102"
"195017","195004"
"195017","185350"
"195017","587015"
"195018","195049"
"195018","195004"
"195018","195012"
"195018","195019"
"195018","FLEV150"
"195018","195022"
"195018","195023"
"195018","195025"
"195018","195026"
"195018","195027"
"195018","195043"
"195018","195047"
"195018","SARR609"
"195018","195005"
"195018","195006"
"195018","195007"
"195018","195010"
"195018","195050"
"195018","1TN0067"
"195019","195007"
"195019","195031"
"195019","195036"
"195019","195047"
"195019","195053"
"195018","VFH0041"
"195019","195008"
"195019","195022"
"195019","195023"
"195019","195025"
"195019","195026"
"195019","195018"
"195019","195004"
"195019","195021"
"195019","TROY058"
"195020","068023"
"195020","195003"
"195020","195035"
"195020","195036"
"195020","195047"
"195020","195049"
"195020","195050"
"195020","195009"
"195020","195022"
"195020","195007"
"195020","HORB205"
"195020","SARR631"
"195020","SILL151"
"195020","VFH0035"
"195020","VLD0001"
"195020","195026"
"195020","ALC0103"
"195020","FLEV150"
"195020","OFBG212"
"195020","OSH0019"
"195021","195014"
"195020","VFH0041"
"195020","185067"
"195020","FLOR103"
"195021","195044"
"195021","195050"
"195021","1TN0096"
"195021","1TN0100"
"195020","BHC0033"
"195021","195005"
"195021","195007"
"195021","195008"
"195021","195009"
"195021","195010"
"195021","195015"
"195021","195016"
"195021","195017"
"195021","195019"
"195021","195022"
"195021","195023"
"195021","195024"
"195021","195026"
"195021","195031"
"195021","MMB0011"
"195021","HORB321"
"195021","SILL151"
"195021","VIGO102"
"195021","VAL0025"
"195021","VDM2W13"
"195021","VNW0004"
"195021","HORB320"
"195021","MMB0015"
"195021","1TN0068"
"195021","SILL146"
"195021","VLD0001"
"195021","195048"
"195022","195007"
"195022","195031"
"195022","195050"
"195022","195011"
