"series_a","series_b","r","sgc","ssgc","overlap","p","distance_m"
"MO038","IL007","0.559460735594185","0.656626506024096","0","166","5.43742150778126e-05","265749.86954685"
"MO038","MO006","0.509075044461649","0.665116279069767","0","215","1.28435400625904e-06","180586.50848352"
"MO039","MO030","0.521264619040626","0.676","0.004","250","2.61238899401661e-08","628815.78429559"
"MO039","MO033","0.520782889149679","0.706081081081081","0.00337837837837838","296","1.33049127271079e-12","472684.79576996"
"MO041","MO009","0.651713771103346","0.760416666666667","0.0104166666666667","192","5.32018873400375e-13","141348.55782366"
"MO041","MO042","0.57867749447812","0.746987951807229","0","581","0","64541.97616118"
"MO041","MO043","0.569423819186523","0.739655172413793","0","580","0","38200.06797155"
"MO042","MO009","0.663394462352269","0.75","0.0104166666666667","192","4.26214619153598e-12","139376.5685178"
"MO042","MO041","0.57867749447812","0.746987951807229","0","581","0","64541.97616118"
"MO042","MO043","0.663446511456094","0.772954924874791","0","599","0","42569.91081262"
"MO043","MO009","0.568220752250196","0.744791666666667","0.0104166666666667","192","1.17001963673147e-11","160917.23154895"
"MO043","MO041","0.569423819186523","0.739655172413793","0","580","0","38200.06797155"
"MO043","MO042","0.663446511456094","0.772954924874791","0","599","0","42569.91081262"
"MO044","MO001","0.774588969179927","0.846376811594203","0.00579710144927536","345","0","2223.90159469"
"MO1","MO009","0.521258779882343","0.734375","0.0104166666666667","192","8.2928330868981e-11","142196.99639255"
"MONG002","MONG004","0.594420651383856","0.770408163265306","0","196","3.68594044175552e-14","36567.15565091"
"MONG004","MONG002","0.594420651383856","0.770408163265306","0","196","3.68594044175552e-14","36567.15565091"
"MONG004","MONG006","0.698143237948326","0.780612244897959","0.00510204081632653","196","3.99680288865056e-15","13855.40781146"
"MONG005","MONG022","0.673131867841295","0.730263157894737","0","304","8.88178419700125e-16","87022.57052046"
"MONG005","MONG028","0.583619351951755","0.71304347826087","0","345","2.44249065417534e-15","88170.68835037"
"MONG006","MONG004","0.698143237948326","0.780612244897959","0.00510204081632653","196","3.99680288865056e-15","13855.40781146"
"MONG017","MONG029","0.617261357600341","0.726851851851852","0","648","0","32956.14325794"
"MONG022","MONG005","0.673131867841295","0.730263157894737","0","304","8.88178419700125e-16","87022.57052046"
"MONG022","MONG028","0.812207108900506","0.8125","0","304","0","1215.02685692"
"MONG028","MONG005","0.583619351951755","0.71304347826087","0","345","2.44249065417534e-15","88170.68835037"
"MONG028","MONG022","0.812207108900506","0.8125","0","304","0","1215.02685692"
"MONG029","MONG017","0.617261357600341","0.726851851851852","0","648","0","32956.14325794"
"MORC001","MORC008","0.559306786636082","0.713592233009709","0","618","0","35870.41413646"
"MORC001","MORC009","0.558123669615089","0.726608187134503","0","684","0","22589.31603984"
"MORC001","MORC010","0.575814104272276","0.748221906116643","0.00284495021337127","703","0","10907.2034302"
"MORC001","MORC017","0.508513260028858","0.694444444444444","0","288","4.12092582280366e-11","33159.42725035"
"MORC007","MORC008","0.517843484934465","0.682210708117444","0","579","0","26201.14691719"
"MORC008","MORC001","0.559306786636082","0.713592233009709","0","618","0","35870.41413646"
"MORC008","MORC007","0.517843484934465","0.682210708117444","0","579","0","26201.14691719"
"MORC008","MORC010","0.613910149263446","0.729468599033816","0.00322061191626409","621","0","43124.16993647"
"MORC008","MORC017","0.506784359842256","0.639175257731959","0","291","2.05129453312303e-06","68338.47865429"
"MORC009","MORC001","0.558123669615089","0.726608187134503","0","684","0","22589.31603984"
"MORC009","MORC010","0.638075440155947","0.737991266375546","0.00291120815138282","687","0","12245.50400804"
"MORC009","MORC017","0.730513458137377","0.761092150170648","0","293","0","15826.76727475"
"MORC010","MORC001","0.575814104272276","0.748221906116643","0.00284495021337127","703","0","10907.2034302"
