"series_a","series_b","r","sgc","ssgc","overlap","p"
"ca545","ca546","0.730635100245351","0.814814814814815","0.00462962962962963","216","0"
"ca545","ca547","0.763274508417335","0.773148148148148","0","216","8.88178419700125e-16"
"ca545","ca548","0.626117893088983","0.771276595744681","0","188","1.01252339845814e-13"
"ca545","ca549","0.602489657547534","0.757281553398058","0","103","1.76766715265231e-07"
"ca545","ca550","0.622563987536366","0.759259259259259","0","216","2.53130849614536e-14"
"ca545","ca552","0.667007439556348","0.768518518518518","0","216","2.88657986402541e-15"
"ca545","ca553","0.657780472374367","0.731481481481482","0.00462962962962963","216","1.01656461026778e-11"
"ca545","ca554","0.580767421750401","0.740740740740741","0","216","1.48059342564011e-12"
"ca545","ca601","0.535787160698759","0.677777777777778","0","180","1.83971519485127e-06"
"ca545","ca612","0.539105200482346","0.726851851851852","0.00462962962962963","216","2.59214871789482e-11"
"ca546","ca512","0.670518182806495","0.744588744588745","0.00432900432900433","231","1.0458300891969e-13"
"ca546","ca536","0.556510062678973","0.720647773279352","0.00404858299595142","247","4.0476511031784e-12"
"ca546","ca537","0.540165206290802","0.684210526315789","0.00404858299595142","247","7.03062852380754e-09"
"ca546","ca539","0.586026377120093","0.748987854251012","0.00404858299595142","247","5.10702591327572e-15"
"ca546","ca540","0.573614504031922","0.766233766233766","0.00432900432900433","231","6.66133814775094e-16"
"ca546","ca542","0.627209134710157","0.768817204301075","0.010752688172043","186","2.26041407813682e-13"
"ca546","ca543","0.64449550788874","0.794871794871795","0.00512820512820513","195","2.22044604925031e-16"
"ca546","ca544","0.708447101225156","0.793522267206478","0.00404858299595142","247","0"
"ca546","ca545","0.730635100245351","0.814814814814815","0.00462962962962963","216","0"
"ca546","ca547","0.782795387184514","0.834008097165992","0.00404858299595142","247","0"
"ca546","ca548","0.725262028702765","0.819148936170213","0.00531914893617021","188","0"
"ca546","ca549","0.625146701101418","0.70873786407767","0","103","2.26610970048835e-05"
"ca546","ca550","0.655570342175459","0.765182186234818","0.00404858299595142","247","0"
"ca546","ca552","0.654362369906238","0.789473684210526","0.00404858299595142","247","0"
"ca546","ca553","0.575185117948865","0.728744939271255","0.00809716599190283","247","6.47926157171241e-13"
"ca546","ca554","0.522906679016018","0.740890688259109","0.00404858299595142","247","3.68594044175552e-14"
"ca546","ca601","0.505376490980334","0.705555555555556","0.00555555555555556","180","3.47524149457712e-08"
"ca547","ca512","0.618014157406023","0.711805555555556","0.00347222222222222","288","6.53033183084517e-13"
"ca547","ca536","0.539454694507137","0.726973684210526","0","304","2.44249065417534e-15"
"ca547","ca538","0.543120400863803","0.715686274509804","0","204","7.21809723103206e-10"
"ca547","ca539","0.659583431052703","0.75","0","304","0"
"ca547","ca540","0.605843933533498","0.748917748917749","0","231","3.84137166520304e-14"
"ca547","ca542","0.70767009520416","0.790322580645161","0.00537634408602151","186","2.44249065417534e-15"
"ca547","ca543","0.765969713938866","0.8","0","195","0"
"ca547","ca544","0.705857493908776","0.804270462633452","0","281","0"
"ca547","ca545","0.763274508417335","0.773148148148148","0","216","8.88178419700125e-16"
"ca547","ca546","0.782795387184514","0.834008097165992","0.00404858299595142","247","0"
"ca547","ca548","0.776444589411273","0.835106382978723","0","188","0"
"ca547","ca549","0.68798728231745","0.728155339805825","0","103","3.63820198878706e-06"
"ca547","ca550","0.637856193935257","0.743421052631579","0","304","0"
"ca547","ca552","0.710643136615503","0.756578947368421","0.00328947368421053","304","0"
"ca547","ca553","0.667276738774251","0.707236842105263","0.00328947368421053","304","4.9515946898282e-13"
"ca547","ca554","0.600521245881374","0.728222996515679","0","287","1.04360964314765e-14"
"ca547","ca601","0.591978875604519","0.683333333333333","0","180","8.68322808544875e-07"
"ca547","ca612","0.509458615128967","0.671052631578947","0.00328947368421053","304","2.44920239644841e-09"
"ca548","az032","0.52078843303947","0.664634146341463","0.00609756097560976","164","2.47912685948926e-05"
"ca548","ca051","0.541788668034642","0.682352941176471","0","170","1.982668059064e-06"
"ca548","ca089","0.525663681582201","0.657458563535912","0","181","2.26751507852452e-05"
"ca548","ca512","0.786485056695878","0.75","0","172","5.47397682737483e-11"
"ca548","ca513","0.510061148818323","0.672619047619048","0","168","7.64838907696408e-06"
"ca548","ca536","0.616311147808003","0.728723404255319","0","188","3.55994123069081e-10"
"ca548","ca537","0.587032018013904","0.654255319148936","0","188","2.33603282913109e-05"
"ca548","ca539","0.783875602189802","0.797872340425532","0","188","2.22044604925031e-16"
"ca548","ca540","0.672614529767429","0.776595744680851","0","188","3.33066907387547e-14"
"ca548","ca541","0.57979166601867","0.776595744680851","0","188","3.33066907387547e-14"
"ca548","ca542","0.699750326430332","0.801075268817204","0.00537634408602151","186","2.22044604925031e-16"
"ca548","ca543","0.802082638998427","0.808510638297872","0","188","0"
"ca548","ca544","0.77965661833862","0.808510638297872","0","188","0"
"ca548","ca545","0.626117893088983","0.771276595744681","0","188","1.01252339845814e-13"
"ca548","ca546","0.725262028702765","0.819148936170213","0.00531914893617021","188","0"
"ca548","ca547","0.776444589411273","0.835106382978723","0","188","0"
"ca548","ca549","0.615357737291105","0.786407766990291","0","103","6.12009110056988e-09"
"ca548","ca550","0.648799173454325","0.73936170212766","0","188","5.2409632189665e-11"
"ca548","ca552","0.775220023776257","0.781914893617021","0","188","1.06581410364015e-14"
"ca548","ca553","0.717872546920836","0.771276595744681","0.00531914893617021","188","1.01252339845814e-13"
"ca548","ca554","0.586668681182859","0.771276595744681","0","188","1.01252339845814e-13"
"ca548","ca601","0.587555445833282","0.683333333333333","0","180","8.68322808544875e-07"
"ca548","ca612","0.599722885211168","0.691489361702128","0.00531914893617021","188","1.5116098150969e-07"
"ca548","mexi019","0.548568246806697","0.696808510638298","0","188","6.77626192935321e-08"
"ca549","ca537","0.657773865727775","0.70873786407767","0","103","2.26610970048835e-05"
"ca549","ca539","0.596802974574755","0.766990291262136","0","103","5.98291516329397e-08"
"ca549","ca540","0.568208733884129","0.728155339805825","0","103","3.63820198878706e-06"
